Parameter,a_mean,a_sd,Q2.5,Q50,Q97.5,Model,Region
b[Score_z RGN19NM:East_Midlands],17.711029404312615,8.793014840050244,0.1218482531640264,17.736683849956954,35.083149256089996,LA,East Midlands
b[Score_z RGN19NM:East_of_England],21.5192241827728,9.301788685847972,3.275505093814192,21.598775314129,39.97482203945567,LA,East of England
b[Score_z RGN19NM:London],-6.84271941843297,11.458414057887024,-30.149811815659586,-6.7150202127392244,14.804979152387368,LA,London
b[Score_z RGN19NM:North_East],21.226825026376922,15.341720400962004,-8.0430878269451,20.792502353178968,53.29015111252531,LA,North East
b[Score_z RGN19NM:North_West],10.708991412477808,7.253197177960665,-3.776702932893677,10.632905171024937,24.771932546251602,LA,North West
b[Score_z RGN19NM:South_East],29.920392940830446,8.01704571663107,14.379305905269376,29.786087429772884,46.02133218925438,LA,South East
b[Score_z RGN19NM:South_West],-5.689481818480716,13.06559423512982,-32.86374793254825,-5.2337202094008175,17.54232116327234,LA,South West
b[Score_z RGN19NM:West_Midlands],15.981375859651536,9.42896911787443,-2.739519866610549,15.864008126449452,35.20256088202597,LA,West Midlands
b[Score_z RGN19NM:Yorkshire_and_The_Humber],28.46964823462189,9.87635612118279,9.50542417271186,28.128540052962265,48.4006237906128,LA,Yorkshire and The Humber
b[Score_z RGN19NM:East_Midlands],10.482276793480409,3.136291623453787,4.481897030724772,10.485471497987874,16.633966128032114,MSOA,East Midlands
b[Score_z RGN19NM:East_of_England],5.835772856446307,3.4036937312410287,-0.7247185500942449,5.830945600729992,12.70595808962792,MSOA,East of England
b[Score_z RGN19NM:London],3.3934148215468145,3.1714349711050778,-3.0073632002199817,3.3747647603477953,9.51295852044097,MSOA,London
b[Score_z RGN19NM:North_East],17.750256288866666,3.672388013068445,10.780788433128468,17.683974685617915,25.10770916497687,MSOA,North East
b[Score_z RGN19NM:North_West],4.5558520983797095,1.902870834377039,0.8690602010256792,4.568482675787909,8.258946498167822,MSOA,North West
b[Score_z RGN19NM:South_East],1.8326707840532903,2.846347486250539,-3.756088537066,1.9061982291830182,7.207736855110511,MSOA,South East
b[Score_z RGN19NM:South_West],-6.455530970943683,3.73689808668489,-13.74081201870864,-6.365801114159597,0.6631051497352684,MSOA,South West
b[Score_z RGN19NM:West_Midlands],5.210860156525132,2.542006921644748,0.17810015542048735,5.205723076818117,10.071056060988235,MSOA,West Midlands
b[Score_z RGN19NM:Yorkshire_and_The_Humber],9.958423628473618,2.3650239996522884,5.322554803273992,9.964816603045024,14.621980833178872,MSOA,Yorkshire and The Humber
